"Id"	"pairedWithId"	"date"	"endDate"	"pairId"	"observation"	"remark"	"QCStateLabel"	"objectId"
"TEST3804589"	""	"2011-07-18 13:29:02.0"	"2011-07-28 00:00:00.0"	"12345"	"CG"	""	"Completed"	"dbe961b9-b7ba-102d-8c2a-9926f351b9ae"
"TEST1"	""	"2011-05-23 14:39:40.0"	"2011-06-23 00:00:00.0"	"12346"	"CG"	""	"Completed"	"dbee90d4-b9ba-102d-8c2a-9926f351b9ae"
"TEST2"	""	"2011-06-20 17:56:53.0"	"2011-07-20 00:00:00.0"	"12347"	"IP"	""	"Completed"	"e1bbef52-70ae-102e-8c2a-9926f351b9ae"
"TEST4564246"	""	"2011-06-20 17:56:53.0"	""	"12348"	"IP"	""	"Completed"	"e1bbef52-70ae-102e-8c2a-9926f351b9af"
"TEST3804589"	"TEST1"	"2011-07-03 10:29:02.0"	""	"12349"	"CP"	""	"Completed"	"dbe961b9-b7ba-102d-8c2a-9926f351b9ae"
"TEST1"	"TEST3804589"	"2011-05-28 11:39:40.0"	""	"12349"	"CP"	""	"Completed"	"dbee90d4-b9ba-102d-8c2a-9926f351b9ae"
"TEST2"	"TEST3804589"	"2011-06-28 19:56:53.0"	""	"12350"	"CP"	""	"Completed"	"e1bbef52-70ae-102e-8c2a-9926f351b9ae"
"TEST3804589"	"TEST2"	"2011-07-12 04:55:02.0"	""	"12350"	"CP"	""	"Completed"	"dbe961b9-b7ba-102d-8c2a-9926f351b9ae"
"TEST1"	"TEST2"	"2011-04-23 12:39:40.0"	""	"12351"	"CP"	""	"Completed"	"dbee90d4-b9ba-102d-8c2a-9926f351b9ae"
"TEST2"	"TEST1"	"2011-06-05 07:26:53.0"	""	"12351"	"CP"	""	"Completed"	"e1bbef52-70ae-102e-8c2a-9926f351b9ae"
"TEST1112911"	"TEST1684145"	"2011-07-19 11:29:02.0"	""	"12352"	"IP"	""	"Completed"	"dbe961b9-b7ba-102d-8c2a-9926f351b9ae"
"TEST1684145"	"TEST1112911"	"2011-05-13 23:39:40.0"	""	"12352"	"IP"	""	"Completed"	"dbee90d4-b9ba-102d-8c2a-9926f351b9ae"
